Feature,Importance,Importance_Percent
numeric__CGPA,0.8405931993901363,84.05931993901363
numeric__ExtraCurricular,0.031633419953947854,3.1633419953947852
numeric__MockInterviewScore,0.026984002071913888,2.698400207191389
numeric__SGPA_Sem5,0.022654321939835173,2.2654321939835174
numeric__SoftSkillsRating,0.016126564142137537,1.6126564142137538
numeric__CodingTestScore,0.011154168382251011,1.115416838225101
numeric__SGPA_Sem3,0.008518729845607502,0.8518729845607501
numeric__SGPA_Sem4,0.008325867944643043,0.8325867944643043
numeric__SGPA_Sem6,0.006341244619260991,0.6341244619260991
numeric__SGPA_Sem7,0.005946371655107498,0.5946371655107499
numeric__SGPA_Sem8,0.005899564611977992,0.5899564611977992
numeric__SGPA_Sem1,0.004940961153709864,0.4940961153709864
numeric__SGPA_Sem2,0.0043674701187373585,0.4367470118737359
numeric__AptitudeTestScore,0.0024930293484504637,0.24930293484504637
numeric__AttendancePercent,0.0014583885561131851,0.1458388556113185
numeric__Projects,0.0004289883651377869,0.04289883651377869
numeric__Internships,0.00029343218925386263,0.02934321892538626
numeric__Certifications,0.00020416791735078355,0.020416791735078356
numeric__Publications,0.0001303617006888839,0.01303617006888839
numeric__Workshops,0.00012119819947909332,0.012119819947909331
categorical__Specialisation_AI,8.468797438396092e-05,0.008468797438396092
categorical__City_Chennai,7.215199075308071e-05,0.007215199075308071
categorical__Stream_CS,6.354183963030427e-05,0.006354183963030427
categorical__City_Delhi,6.329400068422497e-05,0.006329400068422497
categorical__Specialisation_Embedded,6.180328206227828e-05,0.006180328206227828
categorical__Specialisation_DataScience,6.122393714409428e-05,0.006122393714409428
categorical__City_Mumbai,5.885279463531616e-05,0.005885279463531616
categorical__City_Hyderabad,5.646455602688649e-05,0.005646455602688649
categorical__City_Bangalore,5.5540193945169414e-05,0.005554019394516941
categorical__Stream_EE,5.525796268088544e-05,0.005525796268088544
categorical__Stream_ECE,5.301514588299647e-05,0.005301514588299647
categorical__City_Jaipur,5.264093106218814e-05,0.005264093106218814
categorical__Stream_Civil,4.899564410646871e-05,0.004899564410646871
categorical__Specialisation_Networking,4.86745416527149e-05,0.004867454165271489
categorical__Stream_Mechanical,4.757977519360539e-05,0.004757977519360539
categorical__City_Pune,4.5768323907877916e-05,0.004576832390787791
categorical__City_Kochi,4.0642321807675995e-05,0.0040642321807676
categorical__Hostel_Yes,3.9378108508471076e-05,0.003937810850847108
categorical__Stream_IT,3.899326543807681e-05,0.003899326543807681
categorical__CollegeTier_Tier1,3.857973246399608e-05,0.0038579732463996075
categorical__CollegeTier_Tier3,3.793244491512264e-05,0.0037932444915122644
categorical__CollegeTier_Tier2,3.409570668732261e-05,0.003409570668732261
categorical__Hostel_No,3.4088073351696424e-05,0.0034088073351696423
categorical__HistoryOfBacklogs_No,3.370189496103185e-05,0.0033701894961031854
categorical__Gender_Male,3.2525800634312955e-05,0.0032525800634312955
categorical__Gender_Female,3.1931849095788034e-05,0.0031931849095788033
categorical__City_Ahmedabad,3.187968694494914e-05,0.0031879686944949136
categorical__City_Kolkata,3.080294578369989e-05,0.0030802945783699894
categorical__HistoryOfBacklogs_Yes,3.050316991580832e-05,0.003050316991580832
