Feature,Coefficient,Absolute_Coefficient
numeric__SGPA_Sem8,1.0017751093500884,1.0017751093500884
numeric__ExtraCurricular,0.8203021708362317,0.8203021708362317
numeric__SGPA_Sem7,0.7909989207862141,0.7909989207862141
numeric__SGPA_Sem5,0.7893164527373612,0.7893164527373612
numeric__SGPA_Sem6,0.7797118614642976,0.7797118614642976
numeric__SGPA_Sem4,0.6953513911225898,0.6953513911225898
numeric__CGPA,0.598179533832411,0.598179533832411
numeric__SGPA_Sem1,0.4056532854491964,0.4056532854491964
numeric__SGPA_Sem2,0.4039497589949139,0.4039497589949139
numeric__SGPA_Sem3,0.3815185716994267,0.3815185716994267
numeric__SoftSkillsRating,0.3431992201260657,0.3431992201260657
numeric__MockInterviewScore,0.2400144647384431,0.2400144647384431
numeric__AttendancePercent,0.15,0.15
numeric__AptitudeTestScore,0.15,0.15
numeric__Projects,0.15,0.15
numeric__Publications,0.15,0.15
categorical__City_Ahmedabad,0.09817155454212616,0.09817155454212616
categorical__Stream_IT,-0.07379585106996214,0.07379585106996214
categorical__Stream_ECE,0.06532964073832824,0.06532964073832824
categorical__City_Pune,-0.04193237166538284,0.04193237166538284
categorical__City_Mumbai,-0.03894948577489193,0.03894948577489193
categorical__Stream_Mechanical,-0.03276251895038429,0.03276251895038429
categorical__CollegeTier_Tier3,0.032668957151050844,0.032668957151050844
categorical__City_Hyderabad,0.030313738099042826,0.030313738099042826
categorical__Hostel_No,0.029660562868158494,0.029660562868158494
categorical__Hostel_Yes,-0.029660562868158408,0.029660562868158408
categorical__Specialisation_DataScience,-0.02853985169441858,0.02853985169441858
categorical__CollegeTier_Tier1,-0.027213422836964464,0.027213422836964464
categorical__Stream_EE,0.025570094961667268,0.025570094961667268
categorical__City_Kolkata,-0.02431059622584637,0.02431059622584637
numeric__Certifications,0.022071034017863544,0.022071034017863544
categorical__City_Jaipur,-0.02138753114209637,0.02138753114209637
categorical__Stream_Civil,0.021357182746355542,0.021357182746355542
categorical__Specialisation_Embedded,0.02071643963387559,0.02071643963387559
categorical__City_Kochi,-0.019601308062557894,0.019601308062557894
numeric__Internships,0.016376356316057897,0.016376356316057897
numeric__Workshops,0.014064623734540226,0.014064623734540226
categorical__Specialisation_Networking,0.011018583096056418,0.011018583096056418
numeric__CodingTestScore,0.010858549402217747,0.010858549402217747
categorical__City_Chennai,0.009237113900004446,0.009237113900004446
categorical__HistoryOfBacklogs_No,0.007471058412273246,0.007471058412273246
categorical__HistoryOfBacklogs_Yes,-0.007471058412273246,0.007471058412273246
categorical__City_Delhi,0.006865861130633784,0.006865861130633784
categorical__Stream_CS,-0.0056985484260046754,0.0056985484260046754
categorical__CollegeTier_Tier2,-0.005455534314086209,0.005455534314086209
categorical__Specialisation_AI,-0.0031951710355136768,0.0031951710355136768
categorical__Gender_Male,0.0017162740337691893,0.0017162740337691893
categorical__Gender_Female,-0.0017162740337691303,0.0017162740337691303
categorical__City_Bangalore,0.0015930251989680789,0.0015930251989680789
